PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method
2103645,20030821121200,-45.1929,166.83,20,35,79,213,56,98,7,7.1,5.61E+026,22,5,87,-735165.31,2369692.25,-1425430.75,-4250704.5,1486940.25,4985869.5,83,5416627.5,78,149,388026.19,6,28,-5804654,11,298,1
2169849,20030821141200,-45.3592,166.8152,12,23,72,212,68,98,6.1,6.1,1.34E+025,14,3,70,-24379.98,20586.8,-59955.3,-77293.3,76089.99,101673.27,67,144527.23,66,135,-21321.51,7,29,-123205.72,23,296,1
2204598,20030827014200,-45.3144,166.9468,55,57,106,207,37,67,5.5,5.4,1.22E+024,10,3,97,-4446.9,6139.33,4818.63,-6265.48,-1213.07,10712.38,86,12133.05,73,8,167.82,14,225,-12300.87,10,133,1
2214737,20030826235600,-45.4634,166.6344,40,45,122,178,53,62,5.4,5.4,1.43E+024,19,2,80,1385.05,5514.7,3458.4,-13020.7,3080.33,11635.65,75,-15016.72,67,28,1495.29,22,195,13521.44,4,288,1
2266243,20040718042200,-38.0054,176.5141,240,88,-32,331,58,-178,5.1,5.4,1.54E+024,2,7,25,-8280.85,-7999.08,4664.96,12865.32,-7715.2,-4584.47,82,18869.38,21,290,-7029.6,58,56,-11839.78,23,191,1
2281164,20030823091300,-45.3072,166.9217,80,40,122,221,57,66,5.5,5.5,2.07E+024,5,1,85,-14387.7,10640.4,-2038.05,-2374.83,8199.61,16762.53,81,19901.52,68,81,1640.91,20,234,-21542.42,9,328,1
2352986,20050118083600,-41.4634,175.7893,265,30,-169,165,84,-60,5.2,5.2,6.3E+023,4,5,77,2015.06,2713.11,-619.33,-855.86,-5407.88,-1159.2,79,5916.5,33,231,757.17,29,341,-6673.67,43,103,1
2354133,20050120185600,-41.0912,175.0526,70,48,-75,228,44,-106,5.6,5.3,1.15E+024,33,10,76,8096.61,-4401.77,-1938.43,3632.75,-1898.26,-11729.36,75,10819.8,2,149,1453.06,11,239,-12272.86,79,49,1
2359081,20050131173100,-41.4572,175.7617,260,49,137,21,59,50,5.3,5.1,5.49E+023,21,7,48,-2537.11,4332.04,-213.12,-1109.86,-1677.08,3646.97,69,4676.39,56,237,1625.1,34,44,-6301.49,6,138,1
2398629,20050502153500,-43.9412,168.9747,51,58,144,162,60,38,5.8,5.5,1.8E+024,13,9,79,6961.64,7482.49,7023.28,-16857.65,2661.34,9896.01,79,17007.7,47,17,2019.38,43,194,-19027.08,1,286,1
